 16M	AT.AT_PANEL_FILE
1.6M	AT.AT_PANEL_INFO
424M	ISPEC.DEFINE
1.3M	ISPEC.DEFINE_20200515
874K	ISPEC.DEFINE_BAK
809M	ISPEC.DEFINE_HIS
178K	ISPEC.FAB
490K	ISPEC.FAB_OWNER
122K	ISPEC.FEATURE
 90K	ISPEC.FUNCTION_META
262K	ISPEC.MESSAGE_QUEUE
3.0M	ISPEC.MESSAGE_QUEUE_COPY
 90K	ISPEC.MESSAGE_QUEUE_TEST
 90K	ISPEC.MESSAGE_STATUS
452K	ISPEC.MESSAGE_STATUS2
178K	ISPEC.OO_ACTION
 65K	ISPEC.PM_CHECK_LIST
 11G	ISPEC.SPEC
 46M	ISPEC.SPEC_CONSISTENCY
191G	ISPEC.SPEC_HIS
114K	ISPEC.SPEC_TEST
834K	ISPEC.TEST
190K	ISPEC.UPDATE_ALERT
146K	ISPEC.VARIABLE_CONF_VAL
105M	ISPEC_DQ.F8_BEDCSPEC
 97M	ISPEC_DQ.L8_BEDCSPEC
 97M	ISPEC_DQ.T8_BEDCSPEC
164K	KFM.MESLOG
141M	KFM.MODEL
 90K	KFM.PLUGIN
162K	KFM.TEMPLATE
162K	KFM.TMPT_EXPAND
 65K	KFM.TMPT_HIS
538K	KFM.TSQR
903M	MGR.ID01
 22M	MGR.MESSAGE_AUTO_WORKS
4.9G	MGR.MESSAGE_BACKFILL
114K	MGR.MESSAGE_ERROR_LOG
 28G	MGR.MESSAGE_EXCH_LOG
5.0G	MGR.MESSAGE_EXCH_LOG_PERM
 17G	MGR.MESSAGE_EXCH_LOG_PERM_TMP
 65K	MGR.MESSAGE_EXCH_LOG_POOL
 70G	MGR.MESSAGE_EXCH_POOL
164K	MGR.MESSAGE_INIT_LOG
368M	MGR.MQ_MSG_CURR
188K	MGR.MQ_REQ_MSG
 29M	MGR.MQ_UI_REQ_LOG
1.2M	MGR.QUEUE_MANAGER_CONF
306K	PDATA.LOC_FAB
 31M	PDATA.PTY_EMP
 86M	PDATA_EDA.MEA_EDC_CA01
 25G	PDATA_EDA.MEA_EDC_CHK_HIS_T8B
143G	PDATA_EDA.MEA_EDC_CNF1
395G	PDATA_EDA.MEA_EDC_CNF2
127G	PDATA_EDA.MEA_EDC_CNL1
361G	PDATA_EDA.MEA_EDC_CNL2
284G	PDATA_EDA.MEA_EDC_CNT1
674G	PDATA_EDA.MEA_EDC_CNT2
 74G	PDATA_EDA.MEA_EDC_F1
 93G	PDATA_EDA.MEA_EDC_F2
600G	PDATA_EDA.MEA_EDC_F3
1.2T	PDATA_EDA.MEA_EDC_F4
1.1T	PDATA_EDA.MEA_EDC_F5
2.2T	PDATA_EDA.MEA_EDC_F6
1.1T	PDATA_EDA.MEA_EDC_F7
697G	PDATA_EDA.MEA_EDC_F8
576G	PDATA_EDA.MEA_EDC_F8B
157G	PDATA_EDA.MEA_EDC_FT6
 81G	PDATA_EDA.MEA_EDC_L1
 97G	PDATA_EDA.MEA_EDC_L2
471G	PDATA_EDA.MEA_EDC_L3
1.2T	PDATA_EDA.MEA_EDC_L4
795G	PDATA_EDA.MEA_EDC_L5
2.0T	PDATA_EDA.MEA_EDC_L6
607G	PDATA_EDA.MEA_EDC_L7
1.3T	PDATA_EDA.MEA_EDC_L8
 70G	PDATA_EDA.MEA_EDC_LT6
984G	PDATA_EDA.MEA_EDC_LU
141G	PDATA_EDA.MEA_EDC_T1
230G	PDATA_EDA.MEA_EDC_T2
486G	PDATA_EDA.MEA_EDC_T3
928G	PDATA_EDA.MEA_EDC_T4
1.1T	PDATA_EDA.MEA_EDC_T5
1.9T	PDATA_EDA.MEA_EDC_T6
1.0T	PDATA_EDA.MEA_EDC_T7
722G	PDATA_EDA.MEA_EDC_T8
819G	PDATA_EDA.MEA_EDC_T8B
215G	PDATA_EDA.MEA_EDC_TT6
 10G	PDATA_EDA.MEA_SPC_F1_PARA
2.6G	PDATA_EDA.MEA_SPC_F1_RAW
 28G	PDATA_EDA.MEA_SPC_F3_PARA
 64G	PDATA_EDA.MEA_SPC_F3_RAW
 85G	PDATA_EDA.MEA_SPC_F4_PARA
 30G	PDATA_EDA.MEA_SPC_F4_RAW
 92G	PDATA_EDA.MEA_SPC_F5_PARA
107G	PDATA_EDA.MEA_SPC_F5_RAW
 76G	PDATA_EDA.MEA_SPC_F6_PARA
 30G	PDATA_EDA.MEA_SPC_F6_RAW
101G	PDATA_EDA.MEA_SPC_F7_PARA
 57G	PDATA_EDA.MEA_SPC_F7_RAW
 14G	PDATA_EDA.MEA_SPC_F8
 21G	PDATA_EDA.MEA_SPC_F8B_PARA
 14G	PDATA_EDA.MEA_SPC_F8B_RAW
 65G	PDATA_EDA.MEA_SPC_F8_PARA
 35G	PDATA_EDA.MEA_SPC_F8_RAW
6.5G	PDATA_EDA.MEA_SPC_L1_PARA
1.3G	PDATA_EDA.MEA_SPC_L1_RAW
107G	PDATA_EDA.MEA_SPC_L3_PARA
7.2G	PDATA_EDA.MEA_SPC_L3_RAW
162G	PDATA_EDA.MEA_SPC_L4_PARA
 13G	PDATA_EDA.MEA_SPC_L4_RAW
166G	PDATA_EDA.MEA_SPC_L5_PARA
 10G	PDATA_EDA.MEA_SPC_L5_RAW
120G	PDATA_EDA.MEA_SPC_L6_PARA
 44G	PDATA_EDA.MEA_SPC_L6_RAW
 99G	PDATA_EDA.MEA_SPC_L7_PARA
8.6G	PDATA_EDA.MEA_SPC_L7_RAW
148G	PDATA_EDA.MEA_SPC_L8_PARA
 24G	PDATA_EDA.MEA_SPC_L8_RAW
 15G	PDATA_EDA.MEA_SPC_LU_PARA
2.2G	PDATA_EDA.MEA_SPC_LU_RAW
236G	PDATA_EDA.MEA_SPC_T1_PARA
 13G	PDATA_EDA.MEA_SPC_T1_RAW
 69G	PDATA_EDA.MEA_SPC_T3_PARA
 22G	PDATA_EDA.MEA_SPC_T3_RAW
 22G	PDATA_EDA.MEA_SPC_T4_PARA
2.9G	PDATA_EDA.MEA_SPC_T4_RAW
 16G	PDATA_EDA.MEA_SPC_T5_PARA
4.6G	PDATA_EDA.MEA_SPC_T5_RAW
 87G	PDATA_EDA.MEA_SPC_T6_PARA
 23G	PDATA_EDA.MEA_SPC_T6_RAW
 89G	PDATA_EDA.MEA_SPC_T7_PARA
4.2G	PDATA_EDA.MEA_SPC_T7_RAW
 11G	PDATA_EDA.MEA_SPC_T8
 27G	PDATA_EDA.MEA_SPC_T8B_PARA
3.3G	PDATA_EDA.MEA_SPC_T8B_RAW
 70G	PDATA_EDA.MEA_SPC_T8_PARA
5.8G	PDATA_EDA.MEA_SPC_T8_RAW
 65K	PDATA_EDA.PDN_PNL_DFCT_RTQCS_DCI_F8
 65K	PDATA_EDA.PDN_PNL_DFCT_RTQCS_DCI_L8
